trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
100,0,100,0,184.8467260999605,185.84697690000758,185.84697690000758,-5,up,0,0.33286550000775605,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
101,0,101,0,186.19670430000406,187.1969558999408,187.1969558999408,0,down,0,0.2672048000385985,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
102,0,102,0,187.49684309994336,188.49704759998713,188.49704759998713,-4,up,0,0.45675520005170256,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
103,0,103,0,188.97970999998506,189.9801346999593,189.9801346999593,-4,up,0,0.14418569998815656,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
104,0,104,0,190.1466400999343,191.14694280002732,191.14694280002732,1,up,0,0.7499356999760494,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
105,0,105,0,191.91337079997174,192.91360590001568,192.91360590001568,-4,down,1,0.8133534000953659,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
106,0,106,0,193.74689019995276,194.74696239992045,194.74696239992045,0,down,0,0.47965970006771386,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
107,0,107,0,195.2466649999842,196.24691629991867,196.24691629991867,-3,down,1,0.6054320998955518,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
108,0,108,0,196.87964790000115,197.88014060002752,197.88014060002752,-2,up,0,0.23926119995303452,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
109,0,109,0,198.14665889996104,199.14683119999245,199.14683119999245,-4,down,1,0.3147302999859676,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
110,0,110,0,199.47999309992883,200.48029789992142,200.48029789992142,0,down,0,0.24307840003166348,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
111,0,111,0,200.7468447999563,201.74690289993305,201.74690289993305,-2,up,0,0.2507754999678582,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
112,0,112,0,202.03016249998473,203.03027749992907,203.03027749992907,0,up,1,0.17704700003378093,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
113,0,113,0,203.22999149991665,204.23014240001794,204.23014240001794,-4,up,0,0.20014369999989867,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
114,0,114,0,204.44667229999322,205.4470241999952,205.4470241999952,-4,up,0,0.10305870010051876,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
115,0,115,0,205.58013569994364,206.58031779993325,206.58031779993325,0,down,1,27.076660000020638,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
116,0,116,0,233.68021150003187,234.68026960000861,234.68026960000861,0,down,0,0.6003885000245646,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
117,0,117,0,235.31350789999124,236.31359379994683,236.31359379994683,0,down,0,0.14561110001523048,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
118,0,118,0,236.48001920001116,237.47998169995844,237.47998169995844,0,up,1,0.006236599991098046,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
119,0,119,0,237.51325059996452,238.51343289995566,238.51343289995566,0,up,1,0.050264300080016255,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
120,0,120,0,238.59669189993292,239.59705410001334,239.59705410001334,0,up,1,0.39338620007038116,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
121,0,121,0,240.01315090002026,241.01354750001337,241.01354750001337,-1,up,0,0.331495999940671,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
122,0,122,0,241.3632793999277,242.3636770999292,242.3636770999292,0,up,1,0.0046054000267758965,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
123,0,123,0,242.3966813000152,243.39701149996836,243.39701149996836,0,up,1,0.01468440005555749,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
124,0,124,0,243.42991690000053,244.4301796000218,244.4301796000218,1,up,0,0.008655100013129413,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
125,0,125,0,244.463261900004,245.4634675999405,245.4634675999405,0,up,1,0.5002527999458835,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
126,0,126,0,245.9798940999899,246.9802557999501,246.9802557999501,0,up,1,0.2530995999695733,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
127,0,127,0,247.26322029996663,248.2635406999616,248.2635406999616,0,up,1,0.0462291999720037,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
128,0,128,0,248.3298876999179,249.32986199995503,249.32986199995503,0,up,1,0.036114800022915006,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
129,0,129,0,249.39663500001188,250.39699779998045,250.39699779998045,-5,up,0,0.027068399940617383,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
130,0,130,0,250.44657539995387,251.44680449995212,251.44680449995212,0,up,1,0.4815645000198856,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
131,0,131,0,251.9468963999534,252.94692429993302,252.94692429993302,0,up,1,0.10051430005114526,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
132,0,132,0,253.08005849993788,254.08010859997012,254.08010859997012,0,up,1,1.2159558999119326,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
133,0,133,0,255.31326059997082,256.31333789997734,256.31333789997734,0,up,1,0.6585663999430835,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
134,0,134,0,256.9967470000265,257.9968737999443,257.9968737999443,0,up,1,0.34381089999806136,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
135,0,135,0,258.3632061999524,259.3634011999238,259.3634011999238,0,up,1,1.358332599978894,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
136,0,136,0,260.74656300002243,261.74673010001425,261.74673010001425,0,up,1,3.451276500010863,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
137,0,137,0,265.2301817999687,266.2301578000188,266.2301578000188,0,up,1,0.0990252000046894,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
138,0,138,0,266.3467397999484,267.3468255000189,267.3468255000189,4,down,1,0.03728220006451011,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
139,0,139,0,267.4133203999372,268.4133424999891,268.4133424999891,0,down,0,0.07321509998291731,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
140,0,140,0,268.51328369998373,269.513556699967,269.513556699967,-2,down,1,0.26011750008910894,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
141,0,141,0,269.7966519999318,270.79681540001184,270.79681540001184,-1,up,0,0.11402340000495315,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
142,0,142,0,270.93000269995537,271.9303075999487,271.9303075999487,0,up,1,0.21503259998280555,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
143,0,143,0,272.16341299994383,273.16352419997565,273.16352419997565,0,down,0,0.0817229999229312,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
144,0,144,0,273.2633703999454,274.2634325999534,274.2634325999534,4,down,1,0.06357080000452697,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
145,0,145,0,274.3465553999413,275.34688510000706,275.34688510000706,0,up,1,0.07016140001360327,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
146,0,146,0,275.4467807000037,276.4466044999426,276.4466044999426,-1,down,1,0.026003999984823167,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
147,0,147,0,276.4968594999518,277.4966960999882,277.4966960999882,0,up,1,0.04288349999114871,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
148,0,148,0,277.56304289994296,278.5634756999789,278.5634756999789,0,up,1,0.5821447999915108,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
149,0,149,0,279.16319510003086,280.1634932999732,280.1634932999732,2,up,0,0.16813380003441125,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
150,0,150,0,280.36349070002325,281.36340819997713,281.36340819997713,0,up,1,0.17464480001945049,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
151,0,151,0,281.5631682999665,282.5633837999776,282.5633837999776,-2,up,0,0.2610403998987749,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
152,0,152,0,282.84657069994137,283.84658809995744,283.84658809995744,0,up,1,0.12565159995574504,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
153,0,153,0,283.9967823999468,284.9969678999623,284.9969678999623,0,down,0,0.015400299918837845,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
154,0,154,0,285.0299628999783,286.0301227000309,286.0301227000309,0,up,1,0.019873099983669817,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
155,0,155,0,286.08326059998944,287.0801789999241,287.0967374999309,0,down,0,0.015631900052540004,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
156,0,156,0,287.11337009991985,288.11333309998736,288.11333309998736,2,up,0,0.055439600022509694,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
157,0,157,0,288.19661560002714,289.19675120001193,289.19675120001193,0,up,1,0.26031919999513775,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
158,0,158,0,289.48009680001996,290.4801072999835,290.4801072999835,-3,up,0,0.07790869998279959,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
159,0,159,0,290.5799159000162,291.58022749994416,291.58022749994416,-5,up,0,0.10053339996375144,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
160,0,160,0,291.69653539999854,292.6967747999588,292.6967747999588,0,down,0,0.22189270006492734,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
161,0,161,0,292.9466771000298,293.9467996000312,293.9467996000312,2,down,1,0.07189679995644838,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
162,0,162,0,294.0465887999162,295.05064659996424,295.05064659996424,0,down,0,0.16341249994002283,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
163,0,163,0,295.24654790002387,296.2467811999377,296.2467811999377,0,up,1,0.020655900007113814,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
164,0,164,0,296.29686270002276,297.2967360999901,297.2967360999901,0,down,0,0.021265999996103346,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
165,0,165,0,297.3468347999733,298.34700800001156,298.34700800001156,1,up,0,0.12278010009322315,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
166,0,166,0,298.4965888999868,299.4969465000322,299.4969465000322,4,up,0,0.5021428000181913,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
167,0,167,0,300.0298599000089,301.03021210001316,301.03021210001316,-1,up,0,0.1250207000412047,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
168,0,168,0,301.17992689996026,302.1799234999344,302.1799234999344,2,up,0,0.14557529997546226,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
169,0,169,0,302.34671069995966,303.3466846999945,303.3466846999945,0,down,1,0.20529489999171346,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
170,0,170,0,303.5801857999759,304.5803349999478,304.5803349999478,1,up,0,0.16681089997291565,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
171,0,171,0,304.76318739994895,305.7635461000027,305.7635461000027,4,down,1,0.18432839994784445,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
172,0,172,0,305.97999110003,306.9801752999192,306.9801752999192,0,up,1,0.17590110003948212,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
173,0,173,0,307.1799430999672,308.18024130002595,308.18024130002595,1,down,1,0.18870150006841868,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
174,0,174,0,308.3966376000317,309.39681930001825,309.39681930001825,3,up,0,0.17868820007424802,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
175,0,175,0,309.5967252999544,310.5968670999864,310.5968670999864,2,up,0,0.66654759994708,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
176,0,176,0,311.27986020001117,312.2801265999442,312.2801265999442,-4,up,0,0.16479830001480877,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
177,0,177,0,312.46300170000177,313.4633627999574,313.4633627999574,0,up,1,0.3770331999985501,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
178,0,178,0,313.8629019999644,314.86352789995726,314.86352789995726,0,up,0,0.2194596000481397,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
179,0,179,0,315.1133432999486,316.11329459992703,316.11329459992703,-3,up,0,0.2325278000207618,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
180,0,180,0,316.36309360002633,317.3631712999195,317.3631712999195,3,down,1,0.1913634999655187,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
181,0,181,0,317.58007849997375,318.5801178999245,318.5801178999245,2,down,1,0.21436440001707524,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
182,0,182,0,318.81313499994576,319.8132921999786,319.8132921999786,-2,up,0,0.17201360000763088,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
183,0,183,0,320.0133422999643,321.01351059996523,321.01351059996523,4,down,1,0.14975630003027618,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
184,0,184,0,321.17996809992474,322.18079489993397,322.18079489993397,2,down,1,0.2018102000001818,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
185,0,185,0,322.4132947999751,323.41341809998266,323.41341809998266,2,down,1,0.23031930008437485,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
186,0,186,0,323.66312369995285,324.66334620001726,324.66334620001726,0,down,0,0.1073349000653252,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
187,0,187,0,324.79668679996394,325.7968050999334,325.7968050999334,0,up,1,0.13815209991298616,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
188,0,188,0,325.96299659996293,326.96348059992306,326.96348059992306,0,up,1,0.1784165999852121,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
189,0,189,0,327.16299510002136,328.1633335999213,328.1633335999213,0,up,1,0.02051719999872148,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
190,0,190,0,328.2133128999267,329.213334799977,329.213334799977,-1,up,0,0.10459719994105399,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
191,0,191,0,329.34660079993773,330.3467889999738,330.3467889999738,0,down,0,0.12572839995846152,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
192,0,192,0,330.4967332999222,331.4967992999591,331.4967992999591,0,down,1,0.01594369998201728,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
193,0,193,0,331.5299835000187,332.5299202000024,332.5299202000024,0,up,1,0.15465869999025017,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
194,0,194,0,332.71304159995634,333.712970499997,333.712970499997,0,down,0,0.2357041999930516,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
195,0,195,0,333.9798624999821,334.97998659999575,334.97998659999575,0,up,1,0.1577456999802962,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
196,0,196,0,335.1630583999213,336.16368459991645,336.16368459991645,0,down,0,0.13538620003964752,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
197,0,197,0,336.3297986999387,337.33018229994923,337.33018229994923,0,down,0,0.21176680002827197,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
198,0,198,0,337.56301969999913,338.56325969996396,338.56325969996396,-4,up,0,0.019488499965518713,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
